word,phoneme,phoneme_surprisal
io,o,4.309366609123291
si,s,2.313294119162039
si,i,5.108695602911261
maestà,m,5.309711535869387
maestà,a,1.51742160652376
maestà,e,13.149194164711203
maestà,s,0.3064761953519961
maestà,t,-0.0
maestà,a,1.6417677190500177
bene,b,6.97479721306247
bene,E,1.967796068467316
bene,n,1.617967657093182
bene,e,1.2965889286832002
c',tS,9.541300283847931
avresti,a,3.4526399617256045
avresti,v,2.3680065614370545
avresti,r,2.4483541048126094
avresti,e,0.3877947000977122
avresti,s,2.677740245929748
avresti,t,-0.0
avresti,i,0.19434481622616545
piacere,p,2.9346258576878075
piacere,j,4.4343333724885365
piacere,a,0.5643820025848859
piacere,tS,4.078612815699102
piacere,e,1.816607852275619
piacere,r,0.29998851635724005
piacere,e,0.11806311168532285
a,a,6.12018286877115
diventare,d,4.231984180395861
diventare,i,0.9102724358556294
diventare,v,2.368426743253999
diventare,e,0.4217722767914592
diventare,n,0.40757377225963404
diventare,t,0.08870492470278153
diventare,a,0.0009614263255473912
diventare,r,0.005140061126494985
diventare,e,0.001548851986946123
il,i,3.197178480443436
il,l,0.3024840992129945
mio,m,4.6767041108060985
mio,i,1.1745031579978673
mio,o,0.5338453926303922
vescovo,v,4.9769652675179135
vescovo,e,1.179376902889821
vescovo,s,4.144146525197487
vescovo,k,1.762738129446735
vescovo,o,-0.0
vescovo,v,0.0422762693827333
vescovo,o,0.022152093038158596
ho,O,8.571637332781693
magari,m,3.1111484023052793
magari,a,0.8495973978777104
magari,g,7.344357270504351
magari,a,1.530204099772455
magari,r,0.05877975748531517
magari,i,-0.0
maestà,m,4.919988322146643
maestà,a,1.9682698731810278
maestà,e,7.1805899150195485
maestà,s,0.007114315142720643
maestà,t,-0.0
maestà,a,0.036413140845324446
va,v,4.4781553296289625
va,a,3.4848450327776987
via,v,5.390708105877659
via,i,0.7011204041656476
via,a,0.3326728439153591
fuori,f,5.6722365078825
fuori,w,5.442560313918928
fuori,O,-0.0
fuori,r,0.010644194680681578
fuori,i,0.1287074079524992
di,d,2.39290823778348
di,i,3.654012773442527
qua,k,1.2512952900142302
qua,w,1.8280191077698824
qua,a,3.548065946299563
cerco,tS,5.301873727440583
cerco,e,2.0650865476695794
cerco,r,0.20706035313560808
cerco,k,0.035018031653161
cerco,o,4.755308682719763
un,u,2.806179690375927
un,n,0.3159025465478459
uomo,w,1.9820277325139863
